filename,infected
00000.jpg,1
00001.jpg,1
00002.jpg,1
00003.jpg,0
00004.jpg,0
00005.jpg,1
00006.jpg,0
00007.jpg,1
00008.jpg,1
00009.jpg,0
00010.jpg,1
00011.jpg,1
00012.jpg,1
00013.jpg,1
00014.jpg,1
00015.jpg,1
00016.jpg,1
00017.jpg,0
00018.jpg,0
00019.jpg,0
00020.jpg,1
00021.jpg,0
00022.jpg,0
00023.jpg,0
00024.jpg,0
00025.jpg,1
00026.jpg,1
00027.jpg,1
00028.jpg,0
00029.jpg,0
00030.jpg,0
00031.jpg,1
00032.jpg,0
00033.jpg,0
00034.jpg,1
00035.jpg,1
00036.jpg,1
00037.jpg,1
00038.jpg,0
00039.jpg,1
00040.jpg,1
00041.jpg,1
00042.jpg,0
00043.jpg,1
00044.jpg,0
00045.jpg,0
00046.jpg,1
00047.jpg,0
00048.jpg,0
00049.jpg,0
00050.jpg,0
00051.jpg,1
00052.jpg,0
00053.jpg,0
00054.jpg,1
00055.jpg,0
00056.jpg,1
00057.jpg,0
00058.jpg,0
00059.jpg,1
00060.jpg,0
00061.jpg,1
00062.jpg,1
00063.jpg,0
00064.jpg,1
00065.jpg,0
00066.jpg,0
00067.jpg,0
00068.jpg,1
00069.jpg,0
00070.jpg,1
00071.jpg,1
00072.jpg,1
00073.jpg,0
00074.jpg,0
00075.jpg,0
00076.jpg,0
00077.jpg,0
00078.jpg,0
00079.jpg,1
00080.jpg,0
00081.jpg,0
00082.jpg,1
00083.jpg,0
00084.jpg,0
00085.jpg,0
00086.jpg,0
00087.jpg,1
00088.jpg,1
00089.jpg,0
00090.jpg,0
00091.jpg,1
00092.jpg,1
00093.jpg,0
00094.jpg,0
00095.jpg,0
00096.jpg,1
00097.jpg,0
00098.jpg,1
00099.jpg,1
00100.jpg,0
00101.jpg,1
00102.jpg,0
00103.jpg,0
00104.jpg,1
00105.jpg,0
00106.jpg,0
00107.jpg,1
00108.jpg,1
00109.jpg,0
00110.jpg,1
00111.jpg,0
00112.jpg,1
00113.jpg,0
00114.jpg,1
00115.jpg,1
00116.jpg,1
00117.jpg,1
00118.jpg,1
00119.jpg,1
00120.jpg,1
00121.jpg,0
00122.jpg,1
00123.jpg,0
00124.jpg,0
00125.jpg,1
00126.jpg,1
00127.jpg,1
00128.jpg,1
00129.jpg,1
00130.jpg,0
00131.jpg,1
00132.jpg,0
00133.jpg,1
00134.jpg,0
00135.jpg,1
00136.jpg,0
00137.jpg,1
00138.jpg,0
00139.jpg,0
00140.jpg,0
00141.jpg,0
00142.jpg,0
00143.jpg,0
00144.jpg,0
00145.jpg,0
00146.jpg,1
00147.jpg,0
00148.jpg,0
00149.jpg,0
00150.jpg,1
00151.jpg,0
00152.jpg,0
00153.jpg,0
00154.jpg,0
00155.jpg,1
00156.jpg,0
00157.jpg,0
00158.jpg,1
00159.jpg,0
00160.jpg,1
00161.jpg,1
00162.jpg,1
00163.jpg,1
00164.jpg,1
00165.jpg,1
00166.jpg,0
00167.jpg,1
00168.jpg,1
00169.jpg,0
00170.jpg,1
00171.jpg,1
00172.jpg,0
00173.jpg,0
00174.jpg,1
00175.jpg,1
00176.jpg,1
00177.jpg,1
00178.jpg,1
00179.jpg,0
00180.jpg,0
00181.jpg,1
00182.jpg,1
00183.jpg,0
00184.jpg,1
00185.jpg,1
00186.jpg,0
00187.jpg,1
00188.jpg,1
00189.jpg,0
00190.jpg,1
00191.jpg,1
00192.jpg,1
00193.jpg,0
00194.jpg,0
00195.jpg,1
00196.jpg,0
00197.jpg,1
00198.jpg,1
00199.jpg,0
00200.jpg,1
00201.jpg,1
00202.jpg,1
00203.jpg,1
00204.jpg,0
00205.jpg,0
00206.jpg,0
00207.jpg,0
00208.jpg,1
00209.jpg,1
00210.jpg,0
00211.jpg,1
00212.jpg,1
00213.jpg,1
00214.jpg,0
00215.jpg,0
00216.jpg,0
00217.jpg,0
00218.jpg,0
00219.jpg,1
00220.jpg,1
00221.jpg,1
00222.jpg,1
00223.jpg,1
00224.jpg,1
00225.jpg,1
00226.jpg,0
00227.jpg,0
00228.jpg,1
00229.jpg,1
00230.jpg,0
00231.jpg,0
00232.jpg,1
00233.jpg,0
00234.jpg,1
00235.jpg,0
00236.jpg,0
00237.jpg,1
00238.jpg,1
00239.jpg,0
00240.jpg,1
00241.jpg,0
00242.jpg,0
00243.jpg,0
00244.jpg,0
00245.jpg,1
00246.jpg,0
00247.jpg,0
00248.jpg,0
00249.jpg,0
00250.jpg,0
00251.jpg,1
00252.jpg,0
00253.jpg,1
00254.jpg,1
00255.jpg,0
00256.jpg,1
00257.jpg,0
00258.jpg,0
00259.jpg,0
00260.jpg,1
00261.jpg,0
00262.jpg,1
00263.jpg,1
00264.jpg,1
00265.jpg,1
00266.jpg,1
00267.jpg,0
00268.jpg,1
00269.jpg,0
00270.jpg,0
00271.jpg,0
00272.jpg,1
00273.jpg,0
00274.jpg,0
00275.jpg,1
00276.jpg,1
00277.jpg,1
00278.jpg,0
00279.jpg,0
00280.jpg,1
00281.jpg,0
00282.jpg,0
00283.jpg,1
00284.jpg,1
00285.jpg,1
00286.jpg,1
00287.jpg,1
00288.jpg,1
00289.jpg,0
00290.jpg,0
00291.jpg,1
00292.jpg,0
00293.jpg,0
00294.jpg,0
00295.jpg,0
00296.jpg,0
00297.jpg,1
00298.jpg,0
00299.jpg,1
00300.jpg,1
00301.jpg,1
00302.jpg,1
00303.jpg,0
00304.jpg,1
00305.jpg,1
00306.jpg,1
00307.jpg,0
00308.jpg,0
00309.jpg,1
00310.jpg,1
00311.jpg,0
00312.jpg,1
00313.jpg,0
00314.jpg,0
00315.jpg,0
00316.jpg,1
00317.jpg,1
00318.jpg,0
00319.jpg,1
00320.jpg,0
00321.jpg,1
00322.jpg,1
00323.jpg,1
00324.jpg,0
00325.jpg,1
00326.jpg,0
00327.jpg,1
00328.jpg,1
00329.jpg,1
00330.jpg,1
00331.jpg,0
00332.jpg,0
00333.jpg,0
00334.jpg,0
00335.jpg,1
00336.jpg,0
00337.jpg,0
00338.jpg,0
00339.jpg,0
00340.jpg,1
00341.jpg,1
00342.jpg,0
00343.jpg,0
00344.jpg,0
00345.jpg,0
00346.jpg,0
00347.jpg,0
00348.jpg,0
00349.jpg,0
00350.jpg,0
00351.jpg,0
00352.jpg,1
00353.jpg,0
00354.jpg,1
00355.jpg,0
00356.jpg,0
00357.jpg,1
00358.jpg,1
00359.jpg,0
00360.jpg,1
00361.jpg,1
00362.jpg,0
00363.jpg,0
00364.jpg,0
00365.jpg,0
00366.jpg,0
00367.jpg,0
00368.jpg,1
00369.jpg,0
00370.jpg,0
00371.jpg,0
00372.jpg,0
00373.jpg,0
00374.jpg,1
00375.jpg,0
00376.jpg,1
00377.jpg,1
00378.jpg,0
00379.jpg,1
00380.jpg,1
00381.jpg,1
00382.jpg,0
00383.jpg,0
00384.jpg,0
00385.jpg,0
00386.jpg,1
00387.jpg,0
00388.jpg,1
00389.jpg,0
00390.jpg,1
00391.jpg,0
00392.jpg,0
00393.jpg,0
00394.jpg,1
00395.jpg,1
00396.jpg,0
00397.jpg,0
00398.jpg,1
00399.jpg,0
00400.jpg,1
00401.jpg,0
00402.jpg,0
00403.jpg,0
00404.jpg,0
00405.jpg,0
00406.jpg,1
00407.jpg,0
00408.jpg,1
00409.jpg,1
00410.jpg,0
00411.jpg,0
00412.jpg,1
00413.jpg,1
00414.jpg,1
00415.jpg,0
00416.jpg,1
00417.jpg,0
00418.jpg,1
00419.jpg,0
00420.jpg,0
00421.jpg,0
00422.jpg,0
00423.jpg,1
00424.jpg,1
00425.jpg,1
00426.jpg,0
00427.jpg,0
00428.jpg,1
00429.jpg,0
00430.jpg,1
00431.jpg,1
00432.jpg,1
00433.jpg,0
00434.jpg,0
00435.jpg,0
00436.jpg,1
00437.jpg,0
00438.jpg,1
00439.jpg,1
00440.jpg,1
00441.jpg,1
00442.jpg,0
00443.jpg,1
00444.jpg,1
00445.jpg,0
00446.jpg,0
00447.jpg,1
00448.jpg,0
00449.jpg,1
00450.jpg,1
00451.jpg,0
00452.jpg,1
00453.jpg,1
00454.jpg,0
00455.jpg,1
00456.jpg,0
00457.jpg,0
00458.jpg,1
00459.jpg,1
00460.jpg,0
00461.jpg,1
00462.jpg,0
00463.jpg,1
00464.jpg,0
00465.jpg,1
00466.jpg,0
00467.jpg,0
00468.jpg,1
00469.jpg,1
00470.jpg,1
00471.jpg,1
00472.jpg,1
00473.jpg,1
00474.jpg,1
00475.jpg,0
00476.jpg,0
00477.jpg,0
00478.jpg,1
00479.jpg,1
00480.jpg,1
00481.jpg,0
00482.jpg,1
00483.jpg,0
00484.jpg,0
00485.jpg,0
00486.jpg,0
00487.jpg,1
00488.jpg,1
00489.jpg,0
00490.jpg,1
00491.jpg,0
00492.jpg,0
00493.jpg,0
00494.jpg,0
00495.jpg,0
00496.jpg,0
00497.jpg,0
00498.jpg,0
00499.jpg,1
00500.jpg,0
00501.jpg,0
00502.jpg,0
00503.jpg,1
00504.jpg,0
00505.jpg,0
00506.jpg,0
00507.jpg,1
00508.jpg,0
00509.jpg,0
00510.jpg,0
00511.jpg,0
00512.jpg,0
00513.jpg,0
00514.jpg,0
00515.jpg,1
00516.jpg,0
00517.jpg,1
00518.jpg,0
00519.jpg,0
00520.jpg,1
00521.jpg,0
00522.jpg,1
00523.jpg,1
00524.jpg,1
00525.jpg,1
00526.jpg,1
00527.jpg,0
00528.jpg,0
00529.jpg,1
00530.jpg,1
00531.jpg,0
00532.jpg,0
00533.jpg,0
00534.jpg,1
00535.jpg,0
00536.jpg,1
00537.jpg,0
00538.jpg,0
00539.jpg,0
00540.jpg,1
00541.jpg,0
00542.jpg,0
00543.jpg,0
00544.jpg,0
00545.jpg,0
00546.jpg,0
00547.jpg,0
00548.jpg,1
00549.jpg,0
00550.jpg,0
00551.jpg,1
00552.jpg,0
00553.jpg,0
00554.jpg,1
00555.jpg,0
00556.jpg,1
00557.jpg,0
00558.jpg,1
00559.jpg,1
00560.jpg,1
00561.jpg,1
00562.jpg,1
00563.jpg,0
00564.jpg,1
00565.jpg,0
00566.jpg,1
00567.jpg,0
00568.jpg,0
00569.jpg,1
00570.jpg,0
00571.jpg,0
00572.jpg,0
00573.jpg,1
00574.jpg,1
00575.jpg,1
00576.jpg,1
00577.jpg,0
00578.jpg,1
00579.jpg,0
00580.jpg,0
00581.jpg,1
00582.jpg,1
00583.jpg,1
00584.jpg,1
00585.jpg,0
00586.jpg,0
00587.jpg,0
00588.jpg,1
00589.jpg,1
00590.jpg,0
00591.jpg,0
00592.jpg,1
00593.jpg,0
00594.jpg,0
00595.jpg,0
00596.jpg,1
00597.jpg,0
00598.jpg,1
00599.jpg,1
00600.jpg,0
00601.jpg,1
00602.jpg,1
00603.jpg,1
00604.jpg,0
00605.jpg,0
00606.jpg,0
00607.jpg,0
00608.jpg,1
00609.jpg,1
00610.jpg,0
00611.jpg,0
00612.jpg,1
00613.jpg,1
00614.jpg,1
00615.jpg,0
00616.jpg,1
00617.jpg,0
00618.jpg,0
00619.jpg,0
00620.jpg,1
00621.jpg,0
00622.jpg,0
00623.jpg,1
00624.jpg,0
00625.jpg,0
00626.jpg,1
00627.jpg,0
00628.jpg,0
00629.jpg,0
00630.jpg,0
00631.jpg,1
00632.jpg,1
00633.jpg,1
00634.jpg,1
00635.jpg,0
00636.jpg,0
00637.jpg,0
00638.jpg,0
00639.jpg,1
00640.jpg,0
00641.jpg,1
00642.jpg,1
00643.jpg,0
00644.jpg,0
00645.jpg,0
00646.jpg,0
00647.jpg,1
00648.jpg,1
00649.jpg,0
00650.jpg,0
00651.jpg,0
00652.jpg,0
00653.jpg,0
00654.jpg,1
00655.jpg,0
00656.jpg,0
00657.jpg,1
00658.jpg,1
00659.jpg,0
00660.jpg,1
00661.jpg,1
00662.jpg,0
00663.jpg,1
00664.jpg,1
00665.jpg,0
00666.jpg,0
00667.jpg,1
00668.jpg,1
00669.jpg,0
00670.jpg,0
00671.jpg,1
00672.jpg,0
00673.jpg,0
00674.jpg,0
00675.jpg,0
00676.jpg,1
00677.jpg,1
00678.jpg,1
00679.jpg,1
00680.jpg,0
00681.jpg,1
00682.jpg,0
00683.jpg,1
00684.jpg,0
00685.jpg,1
00686.jpg,1
00687.jpg,1
00688.jpg,0
00689.jpg,1
00690.jpg,1
00691.jpg,1
00692.jpg,1
00693.jpg,0
00694.jpg,1
00695.jpg,0
00696.jpg,1
00697.jpg,0
00698.jpg,1
00699.jpg,1
00700.jpg,1
00701.jpg,0
00702.jpg,0
00703.jpg,0
00704.jpg,1
00705.jpg,0
00706.jpg,0
00707.jpg,0
00708.jpg,0
00709.jpg,0
00710.jpg,0
00711.jpg,0
00712.jpg,0
00713.jpg,1
00714.jpg,0
00715.jpg,0
00716.jpg,1
00717.jpg,1
00718.jpg,1
00719.jpg,1
00720.jpg,0
00721.jpg,1
00722.jpg,1
00723.jpg,0
00724.jpg,1
00725.jpg,0
00726.jpg,1
00727.jpg,0
00728.jpg,0
00729.jpg,1
00730.jpg,1
00731.jpg,0
00732.jpg,1
00733.jpg,1
00734.jpg,0
00735.jpg,1
00736.jpg,0
00737.jpg,0
00738.jpg,0
00739.jpg,0
00740.jpg,0
00741.jpg,0
00742.jpg,0
00743.jpg,1
00744.jpg,0
00745.jpg,0
00746.jpg,1
00747.jpg,1
00748.jpg,0
